,0,1,2,3,4
0,Date,Time,Room,Email,
1,10/11/18,12:00am to 12:30am,0,0,Not Confirmed
2,10/11/18,12:30am to 1:00am,0,0,Not Confirmed
3,10/11/18,1:00am to 1:30am,0,0,Not Confirmed
4,10/11/18,1:30am to 2:00am,0,0,Not Confirmed
5,10/11/18,2:00am to 2:30am,0,0,Not Confirmed
6,10/11/18,2:30am to 3:00am,0,0,Not Confirmed
7,10/11/18,3:00am to 3:30am,0,0,Not Confirmed
8,10/11/18,8:30am to 9:00am,0,0,Not Confirmed
9,10/11/18,9:00am to 9:30am,0,0,Not Confirmed
10,10/11/18,9:30am to 10:00am,0,0,Not Confirmed
11,10/11/18,10:00am to 10:30am,Bass L34A,Devon.Saad@yale.edu,Confirmed
12,10/11/18,10:30am to 11:00am,Bass L34A,Nakesha.Saad@yale.edu,Confirmed
13,10/11/18,11:00am to 11:30am,Bass L34A,Devon.Huffman@yale.edu,Confirmed
14,10/11/18,11:30am to 12:00pm,Bass L34A,Janet.Mento@yale.edu,Confirmed
15,10/11/18,12:00pm to 12:30pm,Bass L34A,Temika.Takacs@yale.edu,Confirmed
16,10/11/18,12:30pm to 1:00pm,Bass L34A,Sherilyn.Colorado@yale.edu,Confirmed
17,10/11/18,1:00pm to 1:30pm,0,0,Not Confirmed
18,10/11/18,1:30pm to 2:00pm,0,0,Not Confirmed
19,10/11/18,2:00pm to 2:30pm,Bass L30A,Sherilyn.Paugh@yale.edu,Confirmed
20,10/11/18,2:30pm to 3:00pm,0,0,Not Confirmed
21,10/11/18,3:00pm to 3:30pm,0,0,Not Confirmed
22,10/11/18,3:30pm to 4:00pm,Bass L34A,Sherilyn.Mento@yale.edu,Confirmed
23,10/11/18,4:00pm to 4:30pm,Bass L30D,Portia.Mento@yale.edu,Confirmed
24,10/11/18,4:30pm to 5:00pm,Bass L30D,Jamey.Saad@yale.edu,Confirmed
25,10/11/18,5:00pm to 5:30pm,Bass L30D,Sherilyn.Huffman@yale.edu,Confirmed
26,10/11/18,5:30pm to 6:00pm,Bass L30D,Devon.Casiano@yale.edu,Confirmed
27,10/11/18,6:00pm to 6:30pm,Bass L30D,Chantel.Stanhope@yale.edu,Confirmed
28,10/11/18,6:30pm to 7:00pm,0,0,Not Confirmed
29,10/11/18,7:00pm to 7:30pm,0,0,Not Confirmed
30,10/11/18,7:30pm to 8:00pm,0,0,Not Confirmed
31,10/11/18,8:00pm to 8:30pm,0,0,Not Confirmed
32,10/11/18,8:30pm to 9:00pm,0,0,Not Confirmed
33,10/11/18,9:00pm to 9:30pm,0,0,Not Confirmed
34,10/11/18,9:30pm to 10:00pm,0,0,Not Confirmed
35,10/11/18,10:00pm to 10:30pm,0,0,Not Confirmed
36,10/11/18,10:30pm to 11:00pm,0,0,Not Confirmed
37,10/11/18,11:00pm to 11:30pm,0,0,Not Confirmed
38,10/11/18,11:30pm to 11:59pm,0,0,Not Confirmed
39,11/11/18,12:00am to 12:30am,0,0,Not Confirmed
40,11/11/18,12:30am to 1:00am,0,0,Not Confirmed
41,11/11/18,1:00am to 1:30am,0,0,Not Confirmed
42,11/11/18,1:30am to 2:00am,0,0,Not Confirmed
43,11/11/18,2:00am to 2:30am,0,0,Not Confirmed
44,11/11/18,2:30am to 3:00am,0,0,Not Confirmed
45,11/11/18,3:00am to 3:30am,0,0,Not Confirmed
46,11/11/18,8:30am to 9:00am,0,0,Not Confirmed
47,11/11/18,9:00am to 9:30am,0,0,Not Confirmed
48,11/11/18,9:30am to 10:00am,0,0,Not Confirmed
49,11/11/18,10:00am to 10:30am,0,0,Not Confirmed
50,11/11/18,10:30am to 11:00am,0,0,Not Confirmed
51,11/11/18,11:00am to 11:30am,0,0,Not Confirmed
52,11/11/18,11:30am to 12:00pm,0,0,Not Confirmed
53,11/11/18,12:00pm to 12:30pm,Bass L34D,Temika.Saad@yale.edu,Confirmed
54,11/11/18,12:30pm to 1:00pm,Bass L34D,Jamey.Takacs@yale.edu,Confirmed
55,11/11/18,1:00pm to 1:30pm,Bass L34D,Jane.Saad@yale.edu,Confirmed
56,11/11/18,1:30pm to 2:00pm,Bass L34D,Regine.Paugh@yale.edu,Confirmed
57,11/11/18,2:00pm to 2:30pm,0,0,Not Confirmed
58,11/11/18,2:30pm to 3:00pm,0,0,Not Confirmed
59,11/11/18,3:00pm to 3:30pm,Bass L30B,Odell.Luk@yale.edu,Confirmed
60,11/11/18,3:30pm to 4:00pm,Bass L30B,Sherilyn.Huffman@yale.edu,Confirmed
61,11/11/18,4:00pm to 4:30pm,Bass L30C,Maurita.Colorado@yale.edu,Confirmed
62,11/11/18,4:30pm to 5:00pm,Bass L34C,Odell.Dates@yale.edu,Confirmed
63,11/11/18,5:00pm to 5:30pm,Bass L34C,Theodore.Mento@yale.edu,Confirmed
64,11/11/18,5:30pm to 6:00pm,Bass L34C,Devon.Huffman@yale.edu,Confirmed
65,11/11/18,6:00pm to 6:30pm,Bass L34C,Julianne.Dates@yale.edu,Confirmed
66,11/11/18,6:30pm to 7:00pm,Bass L34C,Temika.Huffman@yale.edu,Confirmed
67,11/11/18,7:00pm to 7:30pm,Bass L34C,Onita.Bungard@yale.edu,Confirmed
68,11/11/18,7:30pm to 8:00pm,Bass L34C,Nakesha.Mento@yale.edu,Confirmed
69,11/11/18,8:00pm to 8:30pm,Bass L34C,Imogene.Stanhope@yale.edu,Confirmed
70,11/11/18,8:30pm to 9:00pm,Bass L34C,Portia.Bungard@yale.edu,Confirmed
71,11/11/18,9:00pm to 9:30pm,Bass L30A,Odell.Saad@yale.edu,Confirmed
